Orthogroup	gila	anole
OG0000067	ENSACAT00000015273-0, augTM-ENSACAT00000001265-0	ENSACAT00000015179
OG0000069	augTM-ENSACAT00000002512-7	ENSACAT00000002512
OG0000069	ENSACAT00000003390-5	ENSACAT00000003390
OG0000069	augTMR-ENSACAT00000009389-7	ENSACAT00000009389
OG0000069	ENSACAT00000012945-3	ENSACAT00000012945, ENSACAT00000055602
OG0000084	augTM-ENSACAT00000013854-1	ENSACAT00000047975, ENSACAT00000013854, ENSACAT00000049461
OG0000084	augTM-ENSACAT00000005385-0	ENSACAT00000005385
OG0000084	ENSACAT00000011630-0	ENSACAT00000040235, ENSACAT00000011630
OG0000084	augTM-ENSACAT00000008896-0	ENSACAT00000008896
OG0000086	augTMR-ENSACAT00000005518-2	ENSACAT00000005518
OG0000086	augTM-ENSACAT00000010357-1	ENSACAT00000042311, ENSACAT00000010357, ENSACAT00000047439
OG0000086	ENSACAT00000008563-3	ENSACAT00000008563
OG0000086	augTM-ENSACAT00000002924-0	ENSACAT00000051537, ENSACAT00000048552, ENSACAT00000047408
OG0000089	augTM-ENSACAT00000012223-0	ENSACAT00000028984
OG0000091	augTM-ENSACAT00000013392-0	ENSACAT00000040593, ENSACAT00000054150
OG0000091	ENSACAT00000013428-0	ENSACAT00000015718
OG0000091	ENSACAT00000002530-0	ENSACAT00000002530
OG0000091	augTM-ENSACAT00000013448-0	ENSACAT00000013428
OG0000092	augTMR-ENSACAT00000009398-1	ENSACAT00000009398, ENSACAT00000050612, ENSACAT00000041637, ENSACAT00000042853, ENSACAT00000039729, ENSACAT00000052856
OG0000093	augTM-ENSACAT00000011728-3	ENSACAT00000011728, ENSACAT00000008381
OG0000093	ENSACAT00000029883-0	ENSACAT00000029883
OG0000093	ENSACAT00000007695-2	ENSACAT00000007695
OG0000093	ENSACAT00000023381-1	ENSACAT00000023381
OG0000093	ENSACAT00000029787-1	ENSACAT00000050698
OG0000093	ENSACAT00000022818-0	ENSACAT00000022818
OG0000094	augTM-ENSACAT00000026753-4	ENSACAT00000052999, ENSACAT00000042576, ENSACAT00000057160, ENSACAT00000038866, ENSACAT00000007938, ENSACAT00000055682, ENSACAT00000048387, ENSACAT00000043789, ENSACAT00000050111, ENSACAT00000053925, ENSACAT00000041893, ENSACAT00000026753
OG0000096	augTM-ENSACAT00000026178-0	ENSACAT00000026178, ENSACAT00000024564, ENSACAT00000024562, ENSACAT00000026647, ENSACAT00000052757, ENSACAT00000042466, ENSACAT00000015659, ENSACAT00000046195, ENSACAT00000057697, ENSACAT00000043261, ENSACAT00000049015, ENSACAT00000051804, ENSACAT00000054834, ENSACAT00000052997, ENSACAT00000050625, ENSACAT00000054717, ENSACAT00000049670
OG0000100	augTMR-ENSACAT00000007568-3	ENSACAT00000007568, ENSACAT00000042118
OG0000100	augTMR-ENSACAT00000009293-10	ENSACAT00000009344, ENSACAT00000048729, ENSACAT00000029147, ENSACAT00000009334, ENSACAT00000029904, ENSACAT00000030886, ENSACAT00000052796, ENSACAT00000051289, ENSACAT00000051509, ENSACAT00000009356, ENSACAT00000045071
OG0000101	ENSACAT00000007920-3	ENSACAT00000011313, ENSACAT00000024319, ENSACAT00000000456, ENSACAT00000029954, ENSACAT00000011161, ENSACAT00000030029, ENSACAT00000039076, ENSACAT00000045402, ENSACAT00000008019, ENSACAT00000055066, ENSACAT00000030698, ENSACAT00000029176, ENSACAT00000007920, ENSACAT00000029384, ENSACAT00000007960
OG0000105	ENSACAT00000012270-1	ENSACAT00000012270, ENSACAT00000052459
OG0000105	augTMR-ENSACAT00000009592-3	ENSACAT00000009592
OG0000105	ENSACAT00000009850-1	ENSACAT00000009850, ENSACAT00000051540
OG0000106	augTM-ENSACAT00000000377-0	ENSACAT00000048661
OG0000106	augTM-ENSACAT00000005946-1	ENSACAT00000005946
OG0000107	augTMR-ENSACAT00000013614-0	ENSACAT00000013614
OG0000107	augTMR-ENSACAT00000005298-1	ENSACAT00000005298
OG0000107	augTMR-ENSACAT00000015074-0	ENSACAT00000015074
OG0000107	augTM-ENSACAT00000015539-0	ENSACAT00000054438
OG0000108	augCGP-3182.t1	ENSACAT00000040361
OG0000109	augTMR-ENSACAT00000003056-0	ENSACAT00000043648, ENSACAT00000010008, ENSACAT00000053964, ENSACAT00000043102
OG0000115	ENSACAT00000013015-1	ENSACAT00000045128, ENSACAT00000013015
OG0000115	augTM-ENSACAT00000014532-0	ENSACAT00000041187, ENSACAT00000047370, ENSACAT00000046438
OG0000115	augTM-ENSACAT00000016637-0	ENSACAT00000041839
OG0000115	augTMR-ENSACAT00000015594-0	ENSACAT00000045232
OG0000116	augTM-ENSACAT00000002118-0, augTM-ENSACAT00000030024-0	ENSACAT00000030024, ENSACAT00000002118, ENSACAT00000041215, ENSACAT00000051645, ENSACAT00000039086
OG0000117	ENSACAT00000003350-0	ENSACAT00000015338, ENSACAT00000003350, ENSACAT00000017600, ENSACAT00000004668, ENSACAT00000004678
OG0000118	augTM-ENSACAT00000030552-0	ENSACAT00000030552
OG0000118	ENSACAT00000008249-0	ENSACAT00000057764, ENSACAT00000008249, ENSACAT00000042049
OG0000118	ENSACAT00000013058-0	ENSACAT00000013058, ENSACAT00000041221
OG0000119	augTM-ENSACAT00000024661-0	ENSACAT00000006729, ENSACAT00000037611, ENSACAT00000047949, ENSACAT00000045247
OG0000120	ENSACAT00000009656-1	ENSACAT00000057861, ENSACAT00000009656
OG0000120	ENSACAT00000011836-0	ENSACAT00000038883, ENSACAT00000011836
OG0000120	ENSACAT00000016829-0	ENSACAT00000016829, ENSACAT00000045746
OG0000121	augTM-ENSACAT00000005983-4	ENSACAT00000005983, ENSACAT00000053211, ENSACAT00000039427, ENSACAT00000055856, ENSACAT00000004103, ENSACAT00000054820, ENSACAT00000042040, ENSACAT00000040561, ENSACAT00000054854, ENSACAT00000048257
OG0000122	ENSACAT00000016853-1	ENSACAT00000057751, ENSACAT00000058092, ENSACAT00000050908, ENSACAT00000056781, ENSACAT00000042536, ENSACAT00000016853, ENSACAT00000042638, ENSACAT00000054967, ENSACAT00000047715
OG0000125	ENSACAT00000001878-0	ENSACAT00000001878
OG0000125	augTM-ENSACAT00000013329-0	ENSACAT00000037919
OG0000125	ENSACAT00000013158-0	ENSACAT00000013158
OG0000125	ENSACAT00000021128-0	ENSACAT00000021128
OG0000125	ENSACAT00000015457-0	ENSACAT00000015457
OG0000127	ENSACAT00000004241-0	ENSACAT00000058496, ENSACAT00000052936, ENSACAT00000051709, ENSACAT00000053278, ENSACAT00000050239, ENSACAT00000039486, ENSACAT00000050198, ENSACAT00000004241
OG0000128	augTM-ENSACAT00000017732-3	ENSACAT00000046629, ENSACAT00000056703, ENSACAT00000056365
OG0000128	augTM-ENSACAT00000016561-3	ENSACAT00000016561
OG0000128	augTM-ENSACAT00000015661-3	ENSACAT00000015661, ENSACAT00000054739
OG0000129	augTM-ENSACAT00000012045-0	ENSACAT00000041121, ENSACAT00000036740, ENSACAT00000052181, ENSACAT00000012045, ENSACAT00000045206, ENSACAT00000044366
OG0000129	ENSACAT00000016775-0	ENSACAT00000016775
OG0000130	augTMR-ENSACAT00000013252-0	ENSACAT00000013252, ENSACAT00000055886
OG0000130	augTMR-ENSACAT00000003400-2	ENSACAT00000044367, ENSACAT00000003400, ENSACAT00000051832, ENSACAT00000058006
OG0000132	augTM-ENSACAT00000014176-0	ENSACAT00000041403, ENSACAT00000049591, ENSACAT00000054880, ENSACAT00000041076, ENSACAT00000047402, ENSACAT00000044830, ENSACAT00000014176, ENSACAT00000046478
OG0000136	augTM-ENSACAT00000001065-0	ENSACAT00000045810
OG0000136	augCGP-4108.t1, augTM-ENSACAT00000017739-0	ENSACAT00000012912
OG0000140	augTM-ENSACAT00000014734-0	ENSACAT00000014734, ENSACAT00000054255
OG0000140	ENSACAT00000015730-0	ENSACAT00000036679, ENSACAT00000042292, ENSACAT00000053128, ENSACAT00000050416, ENSACAT00000015730, ENSACAT00000049641
OG0000142	augTMR-ENSACAT00000003673-0	ENSACAT00000014666, ENSACAT00000003673, ENSACAT00000040904
OG0000143	augTM-ENSACAT00000008543-0	ENSACAT00000049044, ENSACAT00000008543, ENSACAT00000044627, ENSACAT00000057042, ENSACAT00000046388, ENSACAT00000047733, ENSACAT00000056308
OG0000143	augTM-ENSACAT00000016940-0	ENSACAT00000016940, ENSACAT00000051441
OG0000145	augTMR-ENSACAT00000003887-0	ENSACAT00000042581, ENSACAT00000003887
OG0000146	augTM-ENSACAT00000005029-3	ENSACAT00000051866, ENSACAT00000039184, ENSACAT00000050700, ENSACAT00000044793, ENSACAT00000038430, ENSACAT00000049148
OG0000147	ENSACAT00000016588-0, ENSACAT00000030553-0	ENSACAT00000040169, ENSACAT00000053702, ENSACAT00000038763, ENSACAT00000016588, ENSACAT00000048261, ENSACAT00000046645, ENSACAT00000042937, ENSACAT00000041479, ENSACAT00000039478
OG0000148	augTM-ENSACAT00000028016-0	ENSACAT00000044435, ENSACAT00000040893, ENSACAT00000005971
OG0000149	augTM-ENSACAT00000006455-1	ENSACAT00000006455
OG0000149	augTM-ENSACAT00000016803-12	ENSACAT00000053652, ENSACAT00000036581, ENSACAT00000036996
OG0000151	ENSACAT00000022556-7	ENSACAT00000028529, ENSACAT00000026864
OG0000151	ENSACAT00000012734-0	ENSACAT00000022786, ENSACAT00000022616, ENSACAT00000022309, ENSACAT00000026223, ENSACAT00000012734
OG0000151	augTM-ENSACAT00000024135-1, augTM-ENSACAT00000026064-1	ENSACAT00000057950
OG0000153	augTM-ENSACAT00000004389-0	ENSACAT00000003342, ENSACAT00000041596, ENSACAT00000015323, ENSACAT00000052293
OG0000157	ENSACAT00000009715-0	ENSACAT00000056241, ENSACAT00000042440, ENSACAT00000055149, ENSACAT00000047844, ENSACAT00000048574, ENSACAT00000047312, ENSACAT00000058332, ENSACAT00000039149, ENSACAT00000009715, ENSACAT00000042730, ENSACAT00000000917
OG0000160	augTMR-ENSACAT00000011456-1	ENSACAT00000022833, ENSACAT00000055271, ENSACAT00000041189, ENSACAT00000022223, ENSACAT00000038222, ENSACAT00000011372, ENSACAT00000046272, ENSACAT00000054901, ENSACAT00000011456, ENSACAT00000050797
OG0000161	augTM-ENSACAT00000028351-1, augTMR-ENSACAT00000003281-0	ENSACAT00000042317, ENSACAT00000003281
OG0000162	augCGP-5229.t1	ENSACAT00000040788, ENSACAT00000049080, ENSACAT00000055936, ENSACAT00000008799, ENSACAT00000048865, ENSACAT00000008856, ENSACAT00000048542, ENSACAT00000045284, ENSACAT00000025797
OG0000169	augTM-ENSACAT00000004906-0	ENSACAT00000004906
OG0000169	ENSACAT00000015808-3	ENSACAT00000015808
OG0000169	ENSACAT00000014721-4	ENSACAT00000014721
OG0000169	augTM-ENSACAT00000004172-0	ENSACAT00000004172
OG0000171	augTM-ENSACAT00000029957-0, augTM-ENSACAT00000000329-0	ENSACAT00000055883, ENSACAT00000029957, ENSACAT00000000329, ENSACAT00000036658, ENSACAT00000056930, ENSACAT00000048076, ENSACAT00000042551
OG0000173	ENSACAT00000011760-0	ENSACAT00000045919, ENSACAT00000011760
OG0000173	augTM-ENSACAT00000008706-0	ENSACAT00000008706
OG0000173	augTM-ENSACAT00000012005-0	ENSACAT00000012005
OG0000174	augTM-ENSACAT00000014006-1	ENSACAT00000043013, ENSACAT00000014189, ENSACAT00000039494, ENSACAT00000041579, ENSACAT00000058227, ENSACAT00000045279, ENSACAT00000055093, ENSACAT00000042943, ENSACAT00000042367
OG0000176	augTM-ENSACAT00000012463-1	ENSACAT00000012463
OG0000176	augTM-ENSACAT00000009272-0	ENSACAT00000009272
OG0000176	augTM-ENSACAT00000009770-0	ENSACAT00000009770, ENSACAT00000053757
OG0000177	ENSACAT00000010678-0, augTM-ENSACAT00000005252-2, augTMR-ENSACAT00000018011-1, ENSACAT00000008308-1	ENSACAT00000038006
OG0000178	augTM-ENSACAT00000012171-4	ENSACAT00000051117, ENSACAT00000012171, ENSACAT00000052266
OG0000178	augTMR-ENSACAT00000009949-3	ENSACAT00000056030, ENSACAT00000038208, ENSACAT00000052959, ENSACAT00000050164
OG0000179	augTMR-ENSACAT00000006442-0	ENSACAT00000006442, ENSACAT00000048468
OG0000180	augTM-ENSACAT00000011985-0	ENSACAT00000048389
OG0000180	ENSACAT00000009312-0	ENSACAT00000009312
OG0000180	augTM-ENSACAT00000011831-0	ENSACAT00000038104, ENSACAT00000011831
OG0000182	ENSACAT00000006449-0	ENSACAT00000051750, ENSACAT00000058910, ENSACAT00000038694, ENSACAT00000056201, ENSACAT00000006449
OG0000183	augTMR-ENSACAT00000016549-0	ENSACAT00000052227, ENSACAT00000016549, ENSACAT00000057135
OG0000183	ENSACAT00000001103-0	ENSACAT00000001103
OG0000183	ENSACAT00000029375-0	ENSACAT00000029375
OG0000184	ENSACAT00000009009-2	ENSACAT00000009009
OG0000184	ENSACAT00000005957-1	ENSACAT00000005957
OG0000184	ENSACAT00000008276-1	ENSACAT00000037539, ENSACAT00000049819, ENSACAT00000008276
OG0000185	augTM-ENSACAT00000002358-0	ENSACAT00000030317, ENSACAT00000041380, ENSACAT00000038568, ENSACAT00000002358, ENSACAT00000054873, ENSACAT00000044757, ENSACAT00000048316, ENSACAT00000047906, ENSACAT00000040003
OG0000186	augTM-ENSACAT00000009555-0	ENSACAT00000009555
OG0000187	augTM-ENSACAT00000011735-1	ENSACAT00000011740, ENSACAT00000011735, ENSACAT00000047182, ENSACAT00000049687, ENSACAT00000047114, ENSACAT00000041429, ENSACAT00000042925, ENSACAT00000041362, ENSACAT00000054380, ENSACAT00000039069
OG0000188	augTMR-ENSACAT00000022245-1	ENSACAT00000015884, ENSACAT00000051761
OG0000189	augCGP-7107.t1	ENSACAT00000055000, ENSACAT00000041318, ENSACAT00000042490, ENSACAT00000057571, ENSACAT00000029864, ENSACAT00000044524, ENSACAT00000055280, ENSACAT00000001105
OG0000190	ENSACAT00000025582-0	ENSACAT00000043445, ENSACAT00000045231, ENSACAT00000057138, ENSACAT00000025582, ENSACAT00000049818, ENSACAT00000048105, ENSACAT00000038015, ENSACAT00000048650, ENSACAT00000057616, ENSACAT00000038251
OG0000191	ENSACAT00000017400-0	ENSACAT00000055483, ENSACAT00000036969, ENSACAT00000048325, ENSACAT00000038135, ENSACAT00000017400
OG0000192	augTMR-ENSACAT00000013781-0	ENSACAT00000057290, ENSACAT00000013781
OG0000192	augTM-ENSACAT00000015321-2	ENSACAT00000015321, ENSACAT00000048095
OG0000193	augTM-ENSACAT00000028507-1	ENSACAT00000051381, ENSACAT00000028507, ENSACAT00000008280, ENSACAT00000058932, ENSACAT00000038413, ENSACAT00000036921, ENSACAT00000038017, ENSACAT00000028922, ENSACAT00000049185, ENSACAT00000045974, ENSACAT00000046994
OG0000194	augTM-ENSACAT00000000959-0	ENSACAT00000048419, ENSACAT00000045911, ENSACAT00000048812, ENSACAT00000042954, ENSACAT00000048430, ENSACAT00000047685, ENSACAT00000055042, ENSACAT00000041649, ENSACAT00000000959
OG0000195	augTMR-ENSACAT00000012661-0	ENSACAT00000045267, ENSACAT00000012661
OG0000196	augTMR-ENSACAT00000011801-0	ENSACAT00000008981
OG0000199	augTM-ENSACAT00000029700-1	ENSACAT00000036661, ENSACAT00000056216, ENSACAT00000038250, ENSACAT00000029700
OG0000202	ENSACAT00000012981-0	ENSACAT00000012981
OG0000204	augTM-ENSACAT00000015104-0	ENSACAT00000015104
OG0000204	augTMR-ENSACAT00000014825-2	ENSACAT00000014825, ENSACAT00000053406, ENSACAT00000040481
OG0000204	augTM-ENSACAT00000013787-0, ENSACAT00000014877-2	ENSACAT00000014877
OG0000210	augTM-ENSACAT00000017864-0	ENSACAT00000014521, ENSACAT00000054171
OG0000211	augCGP-9931.t1	ENSACAT00000049283
OG0000212	augTM-ENSACAT00000003077-0	ENSACAT00000003077
OG0000212	ENSACAT00000017465-1	ENSACAT00000017465, ENSACAT00000017015
OG0000212	ENSACAT00000014967-0	ENSACAT00000014967
OG0000213	augTMR-ENSACAT00000014408-1	ENSACAT00000044624, ENSACAT00000050618, ENSACAT00000055325, ENSACAT00000054023, ENSACAT00000053903, ENSACAT00000041591, ENSACAT00000048719
OG0000214	augCGP-1488.t1	ENSACAT00000054925, ENSACAT00000058409, ENSACAT00000053821, ENSACAT00000046904, ENSACAT00000010786, ENSACAT00000049709, ENSACAT00000008624, ENSACAT00000046190
OG0000216	augCGP-9765.t1	ENSACAT00000012952, ENSACAT00000050914, ENSACAT00000008189
OG0000217	augTM-ENSACAT00000000956-0	ENSACAT00000000956
OG0000217	augTM-ENSACAT00000004283-0	ENSACAT00000038087
OG0000222	augTM-ENSACAT00000017780-1	ENSACAT00000042661, ENSACAT00000017780, ENSACAT00000040273, ENSACAT00000044084, ENSACAT00000045365, ENSACAT00000058911, ENSACAT00000041352
OG0000223	augCGP-8775.t1	ENSACAT00000007366, ENSACAT00000055605
OG0000224	augTMR-ENSACAT00000002556-0	ENSACAT00000002556, ENSACAT00000039956
OG0000224	ENSACAT00000005037-0	ENSACAT00000005037, ENSACAT00000057791, ENSACAT00000039643, ENSACAT00000039238
OG0000225	ENSACAT00000016075-1	ENSACAT00000016075, ENSACAT00000001410
OG0000225	augTM-ENSACAT00000006617-2	ENSACAT00000056876, ENSACAT00000009982, ENSACAT00000006617
OG0000226	augTM-ENSACAT00000008998-0	ENSACAT00000057156, ENSACAT00000008998
OG0000226	augTM-ENSACAT00000009156-1	ENSACAT00000051439
OG0000226	augTM-ENSACAT00000009980-1	ENSACAT00000055650, ENSACAT00000045593, ENSACAT00000057727
OG0000227	ENSACAT00000011231-1	ENSACAT00000047668
OG0000227	ENSACAT00000006715-1	ENSACAT00000049707, ENSACAT00000047922, ENSACAT00000047969
OG0000228	augTM-ENSACAT00000025487-0	ENSACAT00000053741, ENSACAT00000022225, ENSACAT00000043846
OG0000229	augTM-ENSACAT00000007706-1	ENSACAT00000045958
OG0000229	augTM-ENSACAT00000001654-1	ENSACAT00000047607, ENSACAT00000038654, ENSACAT00000057686, ENSACAT00000043595, ENSACAT00000001654
OG0000232	augTM-ENSACAT00000007648-0	ENSACAT00000054126, ENSACAT00000027836, ENSACAT00000039235, ENSACAT00000038906, ENSACAT00000056588, ENSACAT00000007648, ENSACAT00000044911
OG0000233	augTM-ENSACAT00000006087-1	ENSACAT00000006087
OG0000233	ENSACAT00000014418-0	ENSACAT00000014418
OG0000233	augTMR-ENSACAT00000008121-1	ENSACAT00000008121
OG0000234	augTM-ENSACAT00000006355-1	ENSACAT00000006355
OG0000234	augTM-ENSACAT00000007917-2	ENSACAT00000007917
OG0000236	augTM-ENSACAT00000000246-1	ENSACAT00000010801, ENSACAT00000045337, ENSACAT00000058708, ENSACAT00000045442, ENSACAT00000040385, ENSACAT00000048326, ENSACAT00000058704, ENSACAT00000000246
OG0000237	ENSACAT00000011815-0	ENSACAT00000040389
OG0000237	augTM-ENSACAT00000000690-0	ENSACAT00000000690
OG0000237	ENSACAT00000009239-0	ENSACAT00000009239
OG0000238	augTM-ENSACAT00000013692-1	ENSACAT00000040030, ENSACAT00000057641, ENSACAT00000057345, ENSACAT00000050542, ENSACAT00000052724, ENSACAT00000042745, ENSACAT00000054719
OG0000239	ENSACAT00000001383-1	ENSACAT00000043368, ENSACAT00000047840, ENSACAT00000053551, ENSACAT00000001383, ENSACAT00000049436, ENSACAT00000046815, ENSACAT00000053769, ENSACAT00000047786
OG0000241	augTM-ENSACAT00000007097-0	ENSACAT00000007097
OG0000242	augTM-ENSACAT00000008225-5	ENSACAT00000008225
OG0000242	augTM-ENSACAT00000007320-7	ENSACAT00000007320, ENSACAT00000030676, ENSACAT00000052991
OG0000254	augTM-ENSACAT00000012078-1	ENSACAT00000012078, ENSACAT00000038869, ENSACAT00000051707, ENSACAT00000050662, ENSACAT00000054463, ENSACAT00000056297, ENSACAT00000043223, ENSACAT00000056192, ENSACAT00000051817, ENSACAT00000045256
OG0000256	augTM-ENSACAT00000008937-0	ENSACAT00000008937, ENSACAT00000044098, ENSACAT00000047577, ENSACAT00000057648
OG0000257	augTM-ENSACAT00000000896-0	ENSACAT00000045043, ENSACAT00000048564, ENSACAT00000041320, ENSACAT00000048679, ENSACAT00000054165, ENSACAT00000000896, ENSACAT00000057047
OG0000268	augTM-ENSACAT00000017137-1	ENSACAT00000017137
OG0000268	ENSACAT00000005633-1	ENSACAT00000041882, ENSACAT00000005633
OG0000269	augTM-ENSACAT00000016529-0	ENSACAT00000016529
OG0000269	ENSACAT00000003581-1	ENSACAT00000037801, ENSACAT00000041756, ENSACAT00000037000, ENSACAT00000047592, ENSACAT00000041472
OG0000272	ENSACAT00000000806-0	ENSACAT00000000806
OG0000272	augTM-ENSACAT00000009824-0	ENSACAT00000046232, ENSACAT00000004704, ENSACAT00000043327, ENSACAT00000039599
OG0000273	augTM-ENSACAT00000004512-2	ENSACAT00000057004, ENSACAT00000044400, ENSACAT00000004512, ENSACAT00000048998, ENSACAT00000056300, ENSACAT00000055245, ENSACAT00000049587
OG0000274	ENSACAT00000004156-0	ENSACAT00000004156
OG0000274	augTM-ENSACAT00000012291-0	ENSACAT00000012291
OG0000275	augTM-ENSACAT00000009791-0	ENSACAT00000009791, ENSACAT00000044379
OG0000276	augTMR-ENSACAT00000002320-0	ENSACAT00000043493, ENSACAT00000043255
OG0000276	augTM-ENSACAT00000029120-0	ENSACAT00000052318, ENSACAT00000029120
OG0000277	augTM-ENSACAT00000011107-1	ENSACAT00000051965, ENSACAT00000054575, ENSACAT00000011107
OG0000277	ENSACAT00000009268-2	ENSACAT00000009268, ENSACAT00000051778
OG0000278	ENSACAT00000011275-0	ENSACAT00000053117, ENSACAT00000046594, ENSACAT00000011275, ENSACAT00000048000, ENSACAT00000054943, ENSACAT00000050552, ENSACAT00000052503, ENSACAT00000040635
OG0000279	ENSACAT00000002294-2	ENSACAT00000050859, ENSACAT00000002294
OG0000280	augTMR-ENSACAT00000012404-3	ENSACAT00000012404
OG0000280	augTM-ENSACAT00000014984-1	ENSACAT00000014984
OG0000280	augTMR-ENSACAT00000017516-0	ENSACAT00000056805, ENSACAT00000017516
OG0000283	ENSACAT00000007683-0	ENSACAT00000042682, ENSACAT00000049894, ENSACAT00000053788, ENSACAT00000051476, ENSACAT00000047878, ENSACAT00000007683, ENSACAT00000036968
OG0000284	augTM-ENSACAT00000016339-1	ENSACAT00000016339, ENSACAT00000040102, ENSACAT00000039425, ENSACAT00000038498
OG0000285	ENSACAT00000029546-0	ENSACAT00000029546
OG0000287	augTM-ENSACAT00000012152-1	ENSACAT00000058671, ENSACAT00000049388, ENSACAT00000056591, ENSACAT00000041634
OG0000288	augTMR-ENSACAT00000016108-0	ENSACAT00000016108, ENSACAT00000055208, ENSACAT00000037999
OG0000288	augTM-ENSACAT00000002596-0	ENSACAT00000002596
OG0000289	augTM-ENSACAT00000005192-1	ENSACAT00000004767, ENSACAT00000055097, ENSACAT00000039060, ENSACAT00000005192, ENSACAT00000049112, ENSACAT00000040281
OG0000290	augTM-ENSACAT00000005572-0	ENSACAT00000049921, ENSACAT00000038008, ENSACAT00000005572, ENSACAT00000047564, ENSACAT00000049786, ENSACAT00000048088, ENSACAT00000047506
OG0000291	ENSACAT00000002843-0	ENSACAT00000046475, ENSACAT00000051575, ENSACAT00000046550, ENSACAT00000002843, ENSACAT00000044918, ENSACAT00000052058
OG0000292	augTM-ENSACAT00000011681-5	ENSACAT00000022356, ENSACAT00000011662, ENSACAT00000030720, ENSACAT00000030693, ENSACAT00000037303, ENSACAT00000039525, ENSACAT00000037035, ENSACAT00000030429, ENSACAT00000058026
OG0000294	augCGP-11131.t1	ENSACAT00000052296
OG0000294	augTM-ENSACAT00000026305-1	ENSACAT00000051118, ENSACAT00000039182, ENSACAT00000056242, ENSACAT00000047496, ENSACAT00000026305
OG0000295	augTM-ENSACAT00000001880-0	ENSACAT00000001880
OG0000296	augTMR-ENSACAT00000017629-4	ENSACAT00000044584, ENSACAT00000055358, ENSACAT00000001871, ENSACAT00000045850, ENSACAT00000017629
OG0000297	ENSACAT00000030879-0	ENSACAT00000030879
OG0000297	ENSACAT00000010629-0	ENSACAT00000010629
OG0000297	augTM-ENSACAT00000014591-0	ENSACAT00000056847, ENSACAT00000014591
OG0000298	augTMR-ENSACAT00000015144-1	ENSACAT00000049125, ENSACAT00000056790, ENSACAT00000038583, ENSACAT00000037752, ENSACAT00000015144, ENSACAT00000044492, ENSACAT00000050305
OG0000301	augTMR-ENSACAT00000006625-0	ENSACAT00000006625
OG0000301	augTM-ENSACAT00000010076-1	ENSACAT00000010076
OG0000301	augTM-ENSACAT00000006312-1	ENSACAT00000006312
OG0000302	augTMR-ENSACAT00000005454-1	ENSACAT00000048459, ENSACAT00000040072, ENSACAT00000044858, ENSACAT00000047612, ENSACAT00000036634, ENSACAT00000048075, ENSACAT00000044074, ENSACAT00000005454
OG0000303	ENSACAT00000004456-0	ENSACAT00000005044, ENSACAT00000052483, ENSACAT00000004456, ENSACAT00000037267, ENSACAT00000037914, ENSACAT00000044180, ENSACAT00000050048
OG0000304	augTMR-ENSACAT00000013859-1	ENSACAT00000048939, ENSACAT00000045693, ENSACAT00000050070, ENSACAT00000057663
OG0000305	ENSACAT00000029373-0	ENSACAT00000029373, ENSACAT00000037558, ENSACAT00000049016
OG0000306	ENSACAT00000006002-0	ENSACAT00000006002
